Industry,No controls,FF3 controls
NoDur,-0.0027  (0.2670),-0.0026  (0.2783)
Durbl,0.0071  (0.1675),0.0069  (0.1794)
Manuf,0.0003  (0.9109),0.0002  (0.9391)
Enrgy,-0.0026  (0.5125),-0.0022  (0.5747)
HiTec,0.0034  (0.4156),0.0030  (0.4736)
Telcm,-0.0047  (0.1325),-0.0048  (0.1306)
Shops,0.0000  (0.9953),-0.0002  (0.9406)
Hlth,0.0005  (0.8447),0.0003  (0.9095)
Utils,-0.0002  (0.9362),-0.0003  (0.9058)
Other,-0.0012  (0.7062),-0.0012  (0.7123)
